ID,用例名称,所属模块,前置条件,步骤描述,预期结果,用例等级,标签,用例状态
TC-016,"APIKey 安全性验证：APIKey 加密存储后不会在前端明文显示",Agent 生命周期管理,"已创建 Agent 包含 APIKey，用户查看 Agent 详情","1. 创建 Agent 时输入 APIKey
2. 重新打开 Agent 详情页/编辑页
3. 查看 APIKey 字段显示","1. APIKey 字段在前端显示为掩码（******），不显示明文",P2,"功能测试,安全测试",待执行
TC-017,"LLM 模型创建：添加 OpenAI 兼容格式的 LLM 模型配置",LLM 模型配置管理,"管理员进入 LLM 模型创建页面","1. 选择模型提供商（OpenAI 兼容）
2. 输入模型名称
3. 输入 baseURL
4. 输入 APIKey
5. 输入模型ID
6. 设置 temperature 默认参数
7. 设置 max_tokens 默认参数
8. 提交创建","1. 系统成功创建 LLM 模型配置
2. APIKey 加密存储
3. 配置保存到数据库",P0,"功能测试",待执行
TC-018,"模型参数配置：配置模型提供商、名称、baseURL、APIKey、模型ID、temperature、max_tokens",LLM 模型配置管理,"管理员进入 LLM 模型创建页面","1. 依次填写所有参数字段
2. 提交保存","1. 所有参数正确保存
2. 默认参数使用默认值也能正常保存",P1,"功能测试",待执行
TC-019,"模型连接测试：测试连接验证模型是否可用",LLM 模型配置管理,"管理员已填写模型配置信息","1. 点击「测试连接」按钮
2. 等待返回结果","1. 模型可用返回连接成功
2. 模型不可用返回失败提示和错误信息",P0,"功能测试",待执行
TC-020,"设置默认模型：支持将某个模型设置为默认比对模型",LLM 模型配置管理,"已存在多个 LLM 模型配置","1. 选择一个模型点击「设为默认」
2. 查看默认标记","1. 该模型被设置为默认比对模型
2. 原先的默认模型默认标记被取消",P1,"功能测试",待执行
TC-021,"模型列表展示：查看所有已配置的模型列表",LLM 模型配置管理,"系统中已配置多个 LLM 模型","1. 进入 LLM 模型列表页面","1. 展示所有已配置的模型
2. 标记哪个是当前默认模型",P0,"功能测试",待执行
TC-022,"模型配置编辑：编辑已配置模型的所有配置信息",LLM 模型配置管理,"已存在一个已配置的 LLM 模型","1. 进入编辑页面
2. 修改各个配置字段
3. 保存修改","1. 所有字段支持编辑
2. 修改后正确保存更新",P1,"功能测试",待执行
TC-023,"默认模型切换：切换不同的默认比对模型",LLM 模型配置管理,"已存在多个 LLM 模型，已有一个默认模型","1. 选择另一个模型设置为默认
2. 查看默认标记","1. 原先默认模型取消默认标记
2. 当前模型成功设置为默认",P1,"功能测试",待执行
TC-024,"非默认模型删除：删除非默认的模型配置",LLM 模型配置管理,"已存在一个非默认的 LLM 模型","1. 点击删除该模型
2. 确认删除
3. 查看模型列表","1. 模型成功删除
2. 从列表中移除",P2,"功能测试",待执行
TC-025,"默认模型删除：尝试删除默认模型，系统禁止删除并给出提示",LLM 模型配置管理,"当前存在一个默认模型","1. 尝试删除默认模型
2. 查看系统响应","1. 系统禁止删除默认模型
2. 给出明确提示：不能删除默认模型，请先设置其他模型为默认",P2,"功能测试,边界测试",待执行
TC-026,"无效模型地址测试：模型服务地址无效，测试连接返回失败",LLM 模型配置管理,"管理员在模型创建页面","1. 输入无效的模型服务地址
2. 点击测试连接","1. 返回连接失败提示
2. 给出明确错误信息",P2,"功能测试,边界测试",待执行
TC-027,"错误 APIKey 测试：APIKey 不正确，测试连接返回认证失败",LLM 模型配置管理,"管理员在模型创建页面配置模型","1. 输入正确地址但错误 APIKey
2. 点击测试连接","1. 返回认证失败提示
2. 给出明确错误信息",P2,"功能测试,边界测试",待执行
TC-028,"测试场景创建：输入场景名称、描述创建自定义测试场景",测试场景管理,"已存在创建好的 Agent，用户进入场景创建页面","1. 选择关联的 Agent
2. 输入场景名称
3. 输入场景描述
4. 提交创建","1. 成功创建测试场景
2. 场景关联到指定 Agent
3. 保存成功，跳转到场景详情",P0,"功能测试",待执行
TC-029,"基准问题输入：上传或输入基准问题/提示词",测试场景管理,"用户在创建测试场景页面","1. 在基准问题输入框输入提示词内容
或 上传文本文件导入基准问题
2. 查看输入内容","1. 支持直接输入和上传导入两种方式
2. 基准问题内容正确保存",P1,"功能测试",待执行
TC-030,"预期结果输入：上传或输入基准预期结果",测试场景管理,"用户在创建测试场景页面","1. 在预期结果输入框输入预期结果内容
或 上传文本文件导入预期结果
2. 查看输入内容","1. 支持直接输入和上传导入两种方式
2. 预期结果内容正确保存",P1,"功能测试",待执行
TC-031,"比对参数配置：配置是否比对过程、是否比对结果",测试场景管理,"用户在创建测试场景页面","1. 勾选「是否比对结果」选项
2. 勾选/不勾选「是否比对过程」选项
3. 保存配置","1. 比对参数配置正确保存",P1,"功能测试",待执行
TC-032,"场景保存：正确保存场景配置和基准数据",测试场景管理,"用户已填写场景创建表单所有信息","1. 点击提交保存
2. 从数据库查询场景记录","1. 场景配置和基准数据正确保存到数据库",P1,"功能测试",待执行
TC-033,"场景信息编辑：编辑已有测试场景的所有信息",测试场景管理,"已存在一个测试场景","1. 进入场景编辑页面
2. 修改场景名称、描述
3. 修改基准问题
4. 修改预期结果
5. 修改比对参数
6. 保存修改","1. 所有信息支持编辑
2. 修改后正确更新保存",P1,"功能测试",待执行
TC-034,"基准数据替换：替换场景的基准问题和预期结果",测试场景管理,"已存在测试场景已有基准数据","1. 进入编辑页面
2. 输入新的基准问题
3. 输入新的预期结果
4. 保存","1. 新的基准数据成功替换旧数据
2. 正确保存更新",P1,"功能测试",待执行
TC-035,"比对参数修改：修改比对参数配置",测试场景管理,"已存在测试场景已有比对参数配置","1. 进入编辑页面
2. 修改比对参数（是否比对结果/过程）
3. 保存","1. 新的比对参数配置正确保存更新",P1,"功能测试",待执行
TC-036,"场景列表展示：展示所有测试场景列表，显示场景名称、创建时间",测试场景管理,"已创建多个测试场景","1. 进入场景列表页面
2. 查看列表内容","1. 展示所有测试场景
2. 每条记录显示场景名称、创建时间",P0,"功能测试",待执行
TC-037,"场景按名称搜索：按名称搜索过滤场景列表",测试场景管理,"场景列表中存在多个不同名称的场景","1. 在搜索框输入关键词
2. 点击搜索","1. 列表只显示名称包含关键词的场景
2. 关键词为空显示所有场景",P2,"功能测试",待执行
TC-038,"空基准数据创建：基准问题或预期结果为空时，正确提示错误不创建",测试场景管理,"用户在场景创建页面","1. 留空基准问题，填写其他信息，提交
2. 留空预期结果，填写其他信息，提交（当比对结果开启时）","1. 系统提示错误：基准问题/预期结果不能为空
2. 不允许创建场景",P2,"功能测试,边界测试",待执行
TC-039,"超大基准文本：验证超大文本基准数据的上传/输入处理",测试场景管理,"用户在场景创建页面","1. 输入超大文本内容作为基准问题
2. 输入超大文本内容作为预期结果
3. 提交创建","1. 系统能够正确处理超大文本
2. 成功创建场景并保存完整内容",P2,"功能测试,边界测试",待执行
TC-040,"测试执行触发：选择 Agent 和场景后前端触发执行测试",测试执行引擎,"已存在 Agent 和测试场景，用户进入执行页面","1. 选择要测试的 Agent
2. 选择要执行的场景
3. 点击「开始执行」按钮
4. 查看前端响应","1. 前端成功触发执行请求
2. 后端创建执行任务
3. 前端显示执行进度状态",P0,"功能测试",待执行
TC-041,"执行进度展示：前端实时显示测试执行进度",测试执行引擎,"已触发测试执行","1. 触发执行后停留在执行进度页面
2. 查看进度展示","1. 前端实时更新显示当前执行进度和状态
2. 状态变化（排队 → 运行中 → 拉取 Trace → 比对 → 完成）正确更新",P1,"功能测试",待执行
TC-042,"Agent API 调用：后端正确调用 Agent HTTP API 发送请求",测试执行引擎,"已创建 Agent 和场景，触发执行","1. 触发执行后查看后端日志
2. 检查 Agent 服务是否收到请求","1. 后端按照 Agent 配置的 baseURL 和 APIKey 正确调用 HTTP API
2. 请求头包含 trace_id 用于追踪",P1,"接口测试",待执行
TC-043,"响应等待处理：等待 Agent 完成响应",测试执行引擎,"已触发 Agent API 调用","1. 后端发起调用后等待 Agent 响应","1. 在超时前正确等待响应
2. 超时后正确处理超时异常",P1,"功能测试",待执行
TC-044,"原始数据记录：正确记录原始请求/响应数据",测试执行引擎,"Agent 已返回响应","1. 执行完成后查看执行记录
2. 检查原始请求和响应数据存储","1. 原始请求数据正确记录存储
2. 原始响应数据正确记录存储",P1,"功能测试",待执行
TC-045,"异步 Trace 拉取：触发异步从 ClickHouse 获取 Trace 数据",测试执行引擎,"Agent 调用完成，原始数据已记录","1. Agent 调用完成后检查后续流程","1. 系统自动触发异步任务从 ClickHouse 获取 Trace 数据
2. 不需要用户手动触发",P1,"功能测试",待执行
TC-046,"执行任务列表：查看所有测试执行任务列表，按时间倒序展示",测试执行引擎,"已执行多个测试任务","1. 进入执行任务列表页面
2. 查看列表排序","1. 所有执行任务按时间倒序展示
2. 最新执行的任务显示在最前面",P0,"功能测试",待执行
TC-047,"任务状态展示：显示执行状态（运行中/成功/失败）",测试执行引擎,"进入执行任务列表","1. 查看每个任务的状态显示","1. 每个任务正确显示当前执行状态
2. 状态标识清晰可见",P1,"功能测试",待执行
TC-048,"执行耗时展示：显示任务执行耗时",测试执行引擎,"进入执行任务列表","1. 查看每个已完成任务","1. 每个已完成任务正确显示执行总耗时",P1,"功能测试",待执行
TC-049,"执行详情查看：点击查看执行详情页",测试执行引擎,"执行任务列表已展示","1. 点击某个执行任务","1. 正确跳转到执行详情页
2. 详情页显示完整的执行信息、结果、指标",P1,"功能测试",待执行
TC-050,"Agent 调用超时：Agent 响应超时，系统正确处理超时异常并标记任务失败",测试执行引擎,"Agent 服务响应缓慢超过超时时间（300秒）","1. 触发对该 Agent 的测试执行
2. 等待执行完成","1. 系统正确检测到超时
2. 标记任务状态为失败
3. 记录超时错误信息",P2,"功能测试,边界测试",待执行
TC-051,"Agent 调用错误：Agent 返回错误响应，系统正确记录错误信息",测试执行引擎,"Agent 配置正确，但 Agent 内部处理出错返回错误","1. 触发测试执行
2. 执行完成后查看任务记录","1. 系统正确接收错误响应
2. 标记任务为失败
3. 错误信息正确记录存储",P2,"功能测试,边界测试",待执行
TC-052,"异步处理验证：测试执行异步处理，前端可正常响应不阻塞",测试执行引擎,"用户触发测试执行","1. 用户点击「开始执行」
2. 观察前端响应","1. 前端快速响应，不阻塞等待执行完成
2. 后端异步处理执行
3. 前端可以通过轮询/WS获取进度更新",P2,"功能测试",待执行
TC-053,"ClickHouse 连接配置：配置 Opik/Langfuse ClickHouse 连接地址、账号密码",可观测性数据集成,"管理员进入 ClickHouse 配置页面","1. 选择数据源类型（Opik/Langfuse）
2. 输入连接地址
3. 输入数据库名称
4. 输入用户名
5. 输入密码
6. 保存配置","1. 连接配置正确保存到数据库",P0,"功能测试",待执行
TC-054,"ClickHouse 连接测试：支持测试连接验证配置正确性",可观测性数据集成,"管理员已填写 ClickHouse 连接配置","1. 点击「测试连接」按钮
2. 查看返回结果","1. 配置正确返回连接成功
2. 配置错误返回失败提示和错误信息",P1,"功能测试",待执行
TC-055,"数据源切换：支持切换 Opik 或 Langfuse 数据源",可观测性数据集成,"管理员进入 ClickHouse 配置页面","1. 选择 Opik 数据源保存配置
2. 修改为 Langfuse 数据源保存配置","1. 支持在两种数据源之间切换
2. 切换后配置正确保存",P1,"功能测试",待执行
TC-056,"Trace 数据查询：根据 trace_id 查询所有 span 数据",可观测性数据集成,"ClickHouse 配置完成，有一条已执行任务生成了 trace_id","1. 系统根据 trace_id 查询 ClickHouse
2. 查看返回结果","1. 如果 trace_id 存在，返回所有 span 数据
2. 如果 trace_id 不存在，返回空结果",P1,"功能测试",待执行
TC-057,"Span 指标解析：解析 span 提取 LLM/tool/runtime 各类指标",可观测性数据集成,"已从 ClickHouse 获取到 span 数据列表","1. 系统对获取到的 span 数据进行解析
2. 提取各类指标","1. 正确识别不同类型的 span
2. 提取对应类型的指标数据",P1,"功能测试",待执行
TC-058,"指标存储：存储解析后的指标数据",可观测性数据集成,"已完成指标提取解析","1. 提取后系统存储指标","1. 解析后的指标正确存储到数据库
2. 时序数据库正确存储指标数据",P1,"功能测试",待执行
TC-059,"LLM 指标提取：提取 TTFT（首包延迟）、TPOT（每 token 延迟）、Token 数量统计",可观测性数据集成,"已获取 LLM 类型的 span 数据","1. 系统解析 LLM span","1. 正确提取 TTFT（首包延迟）
2. 正确提取 TPOT（每 token 延迟）
3. 正确统计输入/输出 Token 数量",P1,"功能测试",待执行
TC-060,"Runtime 指标提取：提取 CPU 使用率、内存占用、GC 次数/耗时",可观测性数据集成,"已获取 Runtime 类型的 span 数据","1. 系统解析 Runtime span","1. 正确提取 CPU 使用率
2. 正确提取内存占用
3. 正确提取 GC 次数和 GC 总耗时",P1,"功能测试",待执行
TC-061,"工具调用指标提取：提取工具调用次数、错误率、平均延迟",可观测性数据集成,"已获取多个工具调用 span 数据","1. 系统解析工具调用 span","1. 正确统计工具调用次数
2. 正确计算错误率
3. 正确计算平均延迟",P1,"功能测试",待执行
TC-062,"百分位数计算：计算 P50/P75/P90/P99 百分位数",可观测性数据集成,"已提取得到一组指标数据（如 TTFT）","1. 系统对指标数据集合计算百分位数
2. 查看计算结果","1. 正确计算出 P50/P75/P90/P99 四个百分位数",P1,"功能测试",待执行
TC-063,"时序数据存储：存储所有指标到时序数据库（Prometheus 兼容）",可观测性数据集成,"已完成指标提取和计算","1. 存储指标到时序数据库
2. 从时序数据库查询该指标","1. 所有指标正确存储到时序数据库
2. 可正确查询回存储的指标数据",P1,"功能测试",待执行
TC-064,"ClickHouse 连接失败：ClickHouse 地址或凭证错误，连接失败给出明确提示",可观测性数据集成,"管理员在配置 ClickHouse 连接","1. 输入错误的地址或用户名密码
2. 点击测试连接","1. 返回连接失败
2. 给出明确的错误提示信息",P2,"功能测试,边界测试",待执行
TC-065,"Trace 不存在：trace_id 在 ClickHouse 中不存在，正确处理并记录",可观测性数据集成,"执行完成后需要拉取 Trace，但 trace_id 在 ClickHouse 不存在","1. 触发 Trace 拉取
2. 查看处理结果","1. 系统正确处理空结果
2. 记录日志但不崩溃
3. 任务状态标记为完成但标注警告",P2,"功能测试,边界测试",待执行
TC-066,"空 Trace 数据：获取到空 Trace 数据，系统正确处理不崩溃",可观测性数据集成,"trace_id 存在但不包含任何 span 数据","1. 触发 Trace 拉取
2. 查看系统处理","1. 系统正确处理空 Trace
2. 不崩溃，正确继续执行后续流程
3. 记录空 Trace 信息",P2,"功能测试,边界测试",待执行
TC-067,"超大 Trace 数据：Trace 包含上千个 span，系统能够正确处理解析",可观测性数据集成,"Trace 包含上千个 span 数据","1. 触发 Trace 拉取和解析
2. 等待处理完成","1. 系统能够正确处理解析
2. 不会内存溢出或崩溃
3. 所有指标正确提取",P2,"功能测试,边界测试",待执行
TC-068,"Span 缺少指标字段：Span 缺少某些字段，系统跳过不报错，记录可用指标",可观测性数据集成,"Span 数据结构不完整，缺少某些指标字段","1. 系统解析该 Span
2. 查看解析结果","1. 系统跳过缺少的字段
2. 不抛出异常，不中断解析流程
3. 正确提取已有的指标字段",P2,"功能测试,边界测试",待执行
TC-069,"结果内容比对：使用 LLM 比对测试输出与基准的语义一致性",结果比对与分析,"已获取 Agent 实际输出，场景配置了结果比对，已配置默认 LLM 模型","1. 系统调用 LLM 比对实际输出和基准预期
2. 查看比对结果","1. LLM 正确进行语义一致性比对
2. 输出比对结果和一致性分数",P0,"功能测试",待执行
TC-070,"过程比对：比对调用链路、工具调用顺序是否符合预期",结果比对与分析,"场景配置了过程比对，已获取实际调用链路","1. 系统比对实际调用链路和预期过程","1. 正确比对调用链路顺序
2. 输出过程比对结果，标记不一致之处",P1,"功能测试",待执行
TC-071,"指标比对：对比性能指标（TTFT/Token 等）是否满足 SLO",结果比对与分析,"已提取性能指标，配置了 SLO 阈值","1. 系统将实际指标和 SLO 阈值比对","1. 正确判断指标是否满足 SLO 要求
2. 标记不满足的指标",P1,"功能测试",待执行
TC-072,"比对结果输出：输出比对分数和判定结果（通过/不通过）",结果比对与分析,"已完成多维度比对","1. 系统综合所有比对结果","1. 输出综合比对分数
2. 输出总体判定结果（通过/不通过）",P0,"功能测试",待执行
TC-073,"工具调用错误检测：检测工具调用错误率超过阈值并标记",结果比对与分析,"执行过程中部分工具调用失败，错误率超过阈值","1. 系统统计工具调用错误率
2. 和阈值比较","1. 正确检测出错误率超过阈值
2. 在结果中标记该异常",P1,"功能测试",待执行
TC-074,"延迟异常检测：检测延迟超过 SLO 阈值并标记",结果比对与分析,"实际执行延迟超过配置的 SLO 阈值","1. 系统比对实际延迟和 SLO 阈值","1. 正确检测出延迟超过阈值
2. 在结果中标记该异常",P1,"功能测试",待执行
TC-075,"OOM/超时检测：检测 OOM、超时等异常并标记",结果比对与分析,"执行过程中发生 OOM 或超时异常","1. 系统检测执行日志和状态","1. 正确检测出 OOM 或超时异常
2. 在结果中标记该异常",P1,"功能测试",待执行
TC-076,"异常点标记：在报告中正确标记所有异常点",结果比对与分析,"检测到多个异常点","1. 比对完成生成报告","1. 所有检测到的异常点都在报告中正确标记
2. 异常信息清晰可见",P1,"功能测试",待执行
TC-077,"多维度比对组合：同时开启结果比对+过程比对+指标比对，综合判定正确",结果比对与分析,"场景同时开启了结果比对、过程比对、指标比对","1. 执行多维度比对
2. 查看综合判定结果","1. 三个维度比对都正确执行
2. 综合判定结果正确：任意维度不通过则总体不通过",P1,"功能测试",待执行
TC-078,"执行链路分步展示：按步骤展示每个 Span（Agent/LLM/tool/http）",全链路回放,"执行已完成，获取到 Trace 数据，用户进入回放页面","1. 打开全链路回放页面
2. 查看步骤展示","1. 所有 Span 按执行顺序分步展示
2. 不同类型的 Span 正确分类展示",P1,"功能测试",待执行
TC-079,"步骤输入输出展示：展示每个步骤的输入/输出",全链路回放,"用户在回放页面查看步骤","1. 点击某个步骤查看详情","1. 该步骤的输入数据完整展示
2. 该步骤的输出数据完整展示",P1,"功能测试",待执行
TC-080,"步骤指标展示：展示每个步骤的耗时和各项指标",全链路回放,"用户在回放页面查看步骤详情","1. 打开步骤详情","1. 该步骤的执行耗时正确展示
2. 该步骤提取到的各项指标正确展示",P1,"功能测试",待执行
TC-081,"导航控制：支持分步查看、快进后退操作",全链路回放,"回放包含多个步骤，用户在回放页面","1. 点击「下一步」查看下一步骤
2. 点击「上一步」回到上一步骤
3. 点击「快进」直接跳转到指定步骤","1. 导航操作正常响应
2. 能够正确切换显示对应步骤",P1,"功能测试",待执行
TC-082,"JSON 数据导出：导出完整的执行数据为 JSON 格式",全链路回放,"执行完成，用户在执行详情页","1. 点击「导出 JSON」按钮
2. 下载导出文件","1. 导出成功下载
2. 文件为标准 JSON 格式
3. 包含完整的执行数据",P2,"功能测试",待执行
TC-083,"指标 CSV 导出：导出指标数据为 CSV 格式",全链路回放,"执行完成，用户在执行详情页","1. 点击「导出 CSV」按钮
2. 下载导出文件","1. 导出成功下载
2. 文件为标准 CSV 格式
3. 包含所有提取的指标数据",P2,"功能测试",待执行
TC-084,"多步骤导航：大量步骤（上百步）下导航功能正常",全链路回放,"Trace 包含上百步步骤","1. 打开回放页面
2. 尝试导航到第一步、最后一步、任意中间步骤","1. 导航功能正常使用
2. 页面能够正常渲染不卡顿",P2,"功能测试,边界测试",待执行
TC-085,"空执行回放：执行失败没有 Span 数据，回放页面正确展示空状态",全链路回放,"执行失败，没有获取到任何 Span 数据","1. 打开回放页面","1. 页面正确展示空状态提示
2. 不崩溃，正常显示",P2,"功能测试,边界测试",待执行
TC-086,"浏览器返回操作：回放过程中点击浏览器返回按钮，正确返回列表页",全链路回放,"用户正在查看执行回放页面","1. 点击浏览器的返回按钮","1. 正确返回到执行列表页面
2. 状态不丢失",P3,"功能测试",待执行
TC-087,"页面刷新：回放页面刷新后正确保持状态重新加载",全链路回放,"用户正在查看执行回放页面的某个步骤","1. 刷新页面","1. 刷新后正确重新加载回放页面
2. 保持之前的步骤位置，用户可以继续查看",P3,"功能测试",待执行
TC-088,"总体结果展示：测试报告展示总体判定结果（通过/不通过）",报告与可视化,"执行完成，用户打开测试报告页面","1. 打开测试报告","1. 页面顶部明显位置展示总体判定结果（通过/不通过）",P0,"功能测试",待执行
TC-089,"比对得分展示：展示比对得分",报告与可视化,"执行完成已生成比对得分","1. 打开测试报告","1. 比对得分清晰展示
2. 得分范围 0-1 正确显示",P1,"功能测试",待执行
TC-090,"性能指标展示：展示性能指标统计（TTFT/TPOT/Token/CPU/Memory 百分位数）",报告与可视化,"已提取计算各类性能指标","1. 打开测试报告","1. 所有百分位数指标正确展示
2. 分类清晰：LLM 指标、Runtime 指标、工具指标",P1,"功能测试",待执行
TC-091,"Top 耗时展示：展示 Top 5 耗时服务/步骤",报告与可视化,"执行包含多个步骤，各步骤耗时不同","1. 打开测试报告","1. Top 5 最耗时的步骤正确展示
2. 按耗时降序排列",P1,"功能测试",待执行
TC-092,"异常点列表：展示所有检测到的异常点列表",报告与可视化,"比对检测到多个异常点","1. 打开测试报告","1. 所有异常点汇总展示在异常列表
2. 每个异常点包含异常类型和说明",P1,"功能测试",待执行
TC-093,"两次执行选择：选择任意两次执行结果进行对比",报告与可视化,"已存在多次执行结果","1. 进入历史对比页面
2. 选择第一次执行
3. 选择第二次执行
4. 点击开始对比","1. 支持任意选择两次执行
2. 正确进入对比页面",P1,"功能测试",待执行
TC-094,"指标变化对比：对比两次执行的各项指标变化",报告与可视化,"已选择两次执行结果","1. 查看对比页面","1. 各项指标分别展示两次执行的值
2. 对比结果正确显示",P1,"功能测试",待执行
TC-095,"变化百分比展示：展示指标变化百分比（提升/下降）",报告与可视化,"已选择两次执行结果对比","1. 查看对比结果","1. 计算并展示指标变化百分比
2. 区分提升和下降正确显示",P1,"功能测试",待执行
TC-096,"空报告展示：没有结果数据时，页面正确展示空状态",报告与可视化,"执行未完成，没有结果数据，打开报告页面","1. 打开报告页面","1. 页面正确展示空状态提示
2. 不崩溃，布局正常",P2,"功能测试",待执行
TC-097,"元数据存储：关系数据库正确存储 Agent/场景/执行任务/LLM模型 元数据",基础设施,"系统创建新的 Agent/场景/执行任务/LLM模型","1. 创建后从关系数据库查询","1. 各类元数据正确存储到关系数据库
2. 数据完整，关系正确",P1,"功能测试,存储测试",待执行
TC-098,"大文本存储：对象存储正确存储原始请求响应大文本数据",基础设施,"执行完成，产生原始请求响应大文本","1. 存储后读取取出大文本数据","1. 原始请求响应大文本正确存储到对象存储
2. 取出内容和原始内容一致",P1,"功能测试,存储测试",待执行
TC-099,"时序指标存储：时序数据库正确存储指标数据且 Prometheus 兼容",基础设施,"提取完成各类指标","1. 存储后从 Prometheus 查询指标","1. 指标正确存储到时序数据库
2. Prometheus 可以正常查询到指标数据",P1,"功能测试,存储测试",待执行
TC-100,"数据自动清理：超过 1 个月的数据自动删除",基础设施,"数据库中存在超过 1 个月的执行数据和未超过 1 个月的执行数据","1. 等待自动清理任务运行
2. 检查数据库数据","1. 超过 1 个月的执行数据被正确删除
2. 未超过 1 个月的数据保留不删除",P2,"功能测试",待执行
